Date,Open,High,Low,Close,Adj Close
5/1/23,17.95,17.95,17.95,17.95,17.95
4/1/23,19.79,20.08,15.72,15.78,15.78
3/1/23,20.39,30.81,18.16,18.70,18.70
2/1/23,19.62,23.63,17.06,20.70,20.70
1/1/23,23.09,23.76,17.97,19.40,19.40
12/1/22,20.83,25.84,18.95,21.67,21.67
11/1/22,25.96,26.87,20.31,20.58,20.58
10/1/22,33.00,34.53,25.75,25.88,25.88
9/1/22,26.88,34.88,22.64,31.62,31.62
8/1/22,22.41,27.69,19.12,25.87,25.87
7/1/22,29.53,29.82,21.21,21.33,21.33
6/1/22,26.05,35.05,23.74,28.71,28.71
5/1/22,33.35,36.64,24.94,26.19,26.19
4/1/22,20.62,34.34,18.45,33.40,33.40
3/1/22,29.45,37.52,18.67,20.56,20.56
2/1/22,24.57,37.79,19.93,30.15,30.15
1/1/22,17.60,38.94,16.34,24.83,24.83
12/1/21,24.92,35.32,16.62,17.22,17.22
11/1/21,16.85,28.99,14.73,27.19,27.19
10/1/21,24.78,24.89,14.84,16.26,16.26
9/1/21,16.06,28.79,15.68,23.14,23.14
8/1/21,18.16,24.74,15.19,16.48,16.48
7/1/21,15.62,25.09,14.25,18.24,18.24
6/1/21,17.24,21.82,14.10,15.83,15.83
5/1/21,18.65,28.93,15.90,16.76,16.76
4/1/21,18.60,19.90,15.38,18.61,18.61
3/1/21,25.20,31.90,18.68,19.40,19.40
2/1/21,31.45,33.96,19.69,27.95,27.95
1/1/21,23.04,37.51,21.09,33.09,33.09
12/1/20,20.21,31.46,19.97,22.75,22.75
11/1/20,38.57,38.78,19.51,20.57,20.57
10/1/20,25.78,41.16,24.03,38.02,38.02
9/1/20,25.86,38.28,24.84,26.37,26.37
8/1/20,25.75,27.09,20.28,26.41,26.41
7/1/20,30.96,33.67,23.55,24.46,24.46
6/1/20,28.94,44.44,23.54,30.43,30.43
5/1/20,38.17,40.32,25.92,27.51,27.51
